id,item,U,F,G,V,E,N,CTScondition,CTSstandards
1,Medicinal Plant Basics,,,,,,,,
2,Soil Type Identification,,,,,,,,
3,Proper Planting Depth,,,,,,,,
4,Watering Frequency,,,,,,,,
5,Identifying Common Pests,,,,,,,,
6,Growth Rate Analysis,,,,,,,,
7,Harvest Timing,,,,,,,,
8,Storing Medicinal Plants,,,,,,,,
9,Quality Assurance Methods,,,,,,,,
10,Marketing Channels,,,,,,,,
11,Soil pH Testing,,,,,,,,
12,Simulated Planting Drill,,,,,,,,
13,Virtual Watering Techniques,,,,,,,,
14,Fertilizer Application Simulation,,,,,,,,
15,Pest Control Simulation,,,,,,,,
16,Disease Control Simulation,,,,,,,,
17,Growth Chart Analysis,,,,,,,,
18,Simulated Harvesting Drill,,,,,,,,
19,Post-Harvest Treatment Simulation,,,,,,,,
20,Quality Check Simulation,,,,,,,,
21,Medicinal Plant History,,,,,,,,
22,Soil Nutrient Analysis,,,,,,,,
23,Seed Selection,,,,,,,,
24,Organic Fertilizers,,,,,,,,
25,Disease Identification,,,,,,,,
26,Test on Soil Types,,,,,,,,
27,Planting Technique Test,,,,,,,,
28,Watering Method Test,,,,,,,,
29,Pest Identification Test,,,,,,,,
30,Growth Analysis Test,,,,,,,,
31,Harvesting Test,,,,,,,,
32,Quality Control Test,,,,,,,,
33,Marketing Strategy Test,,,,,,,,
34,Soil Treatment Basics,,,,,,,,
35,Seed Germination,,,,,,,,
36,Sunlight Requirement Analysis,,,,,,,,
37,Drip Irrigation Basics,,,,,,,,
38,Natural Pest Repellents,,,,,,,,
39,Plant Growth Stages,,,,,,,,
40,Optimal Harvest Period,,,,,,,,
41,Drying Medicinal Plants,,,,,,,,
42,Lab Testing for Quality,,,,,,,,
43,Digital Marketing for Plants,,,,,,,,
44,Soil Aeration Simulation,,,,,,,,
45,Virtual Seed Sowing,,,,,,,,
46,Simulated Drought Conditions,,,,,,,,
47,Simulating Organic Fertilization,,,,,,,,
48,Virtual Pest Scenarios,,,,,,,,
49,Disease Management Simulation,,,,,,,,
50,Growth Prediction Software,,,,,,,,
51,Virtual Harvesting Tools,,,,,,,,
52,Storage Condition Simulation,,,,,,,,
53,Lab Test Simulations,,,,,,,,
54,Online Marketing Simulation,,,,,,,,
55,Medicinal Plant Taxonomy,,,,,,,,
56,Soil Microbes and Health,,,,,,,,
57,Root Depth Analysis,,,,,,,,
58,Organic vs Chemical Fertilizers,,,,,,,,
59,Common Medicinal Plant Diseases,,,,,,,,
60,Test on Plant Varieties,,,,,,,,
61,Soil Health Test,,,,,,,,
62,Irrigation Test,,,,,,,,
63,Test on Natural Pesticides,,,,,,,,
64,Plant Growth Test,,,,,,,,
65,Test on Drying Techniques,,,,,,,,
66,Lab Quality Test,,,,,,,,
67,Marketing Pitch Test,,,,,,,,
68,Medicinal Plant Uses,,,,,,,,
69,Soil Composition Analysis,,,,,,,,
70,Pruning Techniques,,,,,,,,
